Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2019,2020,2021,2022,2023
Cambodia,KHM,International Fund for Agricultural Dev. (IFAD),988,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1802027.9,2036791.2,2968487.7,2990946.3,4626348.3
Cambodia,KHM,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,9734101.9,10969559.1,13026631,14529930.1,17057839.1
Cambodia,KHM,"Korea, Republic Of",742,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,8405100.4,8250905.1,8972047.5,8926258,9046438.8
Cambodia,KHM,Nordic Development Fund,950,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,277668.3,279660.3,298470.7,297243.6,296016.5
Cambodia,KHM,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4790000,4448000,4112576.6,4031576.6,3288076.6
Cambodia,KHM,Other Multiple Lenders,FCW,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1174135000,1100489000,1361044857.1,996057857.1,792156857.1
Cambodia,KHM,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,0,0,91555200,91555200,91555200
Cambodia,KHM,Thailand,764,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4287209.6,4204137.8,4150977.7,4099907.6,4067989.6
Cambodia,KHM,Vietnam,769,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4059000,2134000,248000,248000,248000
Cambodia,KHM,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1513599247.7,1488009326.6,2208428328.6,1564230247.5,1392609373.7
Cambodia,KHM,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,21737000,23745000,30069018.6,32049284.6,35468438.8
